stream	dataset	path	group	working groups	type	status	enabling	target rate 2.0e34	target rate 1.4e34	HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                               HLT Prescales																										L1 seed {Note: "(L1_A) AND (L1_B)" refers to the actual seed (L1_A) and any L1 algo (L1_B) used to provide L1 candidates in the path (but not to seed the path). In case of doubt, the most trustable source is the configuration of the path itself.}	L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                               L1 Prescales																										
				e.g. "EXO-LL" or "HIG-ZZ" etc...						Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz		Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz	
Parking	ParkingMuon	DST_L1DoubleMu_BTagScouting_v14	EXO		control	prescaled	2E+34	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_DoubleMu_12_5 OR L1_DoubleMu_12_8 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_DoubleMu_15_7 OR L1_TripleMu_4_4_4 OR L1_TripleMu_5_0_0 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3 OR L1_QuadMu0 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu5_SQ_OS_Mass7to18 OR L1_DoubleMu_20_2_SQ_Mass_Max20 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu6_SQ_OS OR L1_DoubleMu0er1p5_SQ_dR_Max1p4 OR L1_DoubleMu0er2_SQ_dR_Max1p4 OR L1_DoubleMu0_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingMuon	DST_L1DoubleMu_CaloScouting_PFScouting_v13	EXO		control	prescaled	2E+34	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_DoubleMu_12_5 OR L1_DoubleMu_12_8 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_DoubleMu_15_7 OR L1_TripleMu_4_4_4 OR L1_TripleMu_5_0_0 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3 OR L1_QuadMu0 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu5_SQ_OS_Mass7to18 OR L1_DoubleMu_20_2_SQ_Mass_Max20 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu6_SQ_OS OR L1_DoubleMu0er1p5_SQ_dR_Max1p4 OR L1_DoubleMu0er2_SQ_dR_Max1p4 OR L1_DoubleMu0_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	Commissioning	HLT_IsoTrackHB_v3	ALCA,HCAL		control	prescaled	Emergency	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet60	20000	1700	1700	1300	960	680	520	400	280	160	80	1700	1700	1300	960	680	520	400	280	160	80	0	0	0	0	0	
PhysicsCommissioning	Commissioning	HLT_IsoTrackHE_v3	ALCA,HCAL		control	prescaled	Emergency	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet60	20000	1700	1700	1300	960	680	520	400	280	160	80	1700	1700	1300	960	680	520	400	280	160	80	0	0	0	0	0	
PhysicsCommissioning	Commissioning	HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v2	TRK-DPG		control	prescaled	Emergency	2	2	0	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	0	0	0	0	0	L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142	0	190	190	160	125	100	70	50	28	13	6	190	190	160	125	100	70	50	28	13	6	0	0	0	0	0	
PhysicsCommissioning	HLTPhysics	HLT_Physics_v7	TSG		control	prescaled	Emergency	10	10	25	50	50	63	75	75	75	75	70	50	35	50	50	63	75	75	75	75	70	50	35	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsCommissioning	HcalNZS	HLT_HcalNZS_v12	ALCA,HCAL		control	prescaled	Emergency	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L1_ZeroBias OR L1_SingleJet16 OR L1_SingleJet20 OR L1_SingleJet35 OR L1_SingleJet60 OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_TripleJet_84_68_48_VBF OR L1_TripleJet_88_72_56_VBF OR L1_TripleJet_92_76_64_VBF OR L1_QuadJet40er2p7 OR L1_QuadJet50er2p7 OR L1_QuadJet60er2p7 OR L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT220er OR L1_HTT240er OR L1_HTT255er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10487	12343	14983	17483	20983	
PhysicsCommissioning	HcalNZS	HLT_HcalPhiSym_v14	ALCA,HCAL		control	prescaled	Emergency	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG5 OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18 OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG28 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleMuOpen OR L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7 OR L1_SingleMu16 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu22 OR L1_SingleMu25 OR L1_SingleMu30 OR L1_DoubleMu_12_5 OR L1_DoubleMu_12_8 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20 OR L1_SingleIsoEG22 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38  OR L1_DoubleEG_15_10 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleEG_25_13 OR L1_DoubleEG_25_14 OR L1_TripleEG_14_10_8 OR L1_TripleEG_18_17_8 OR L1_TripleMu_4_4_4 OR L1_TripleMu_5_0_0 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3 OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	HighPtLowerPhotons	HLT_HISinglePhoton10_Eta3p1ForPPRef_v8	HIN		signal	prescaled	Disabled	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_ZeroBias	12457	12457	12457	12457	7193	7193	7193	7193	7193	7193	7193	12457	12457	12457	7193	7193	7193	7193	6997	6997	6997	10487	12343	14983	17483	20983	
PhysicsCommissioning	HighPtLowerPhotons	HLT_HISinglePhoton20_Eta3p1ForPPRef_v8	HIN		signal	prescaled	Disabled	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10	60000	38000	38000	32000	27000	1500	1200	980	750	490	252	38000	38000	32000	27000	1500	1200	980	750	490	252	0	0	0	0	0	
PhysicsCommissioning	HighPtPhoton30AndZ	HLT_HISinglePhoton30_Eta3p1ForPPRef_v8	HIN		signal	unprescaled	Disabled	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10	60000	38000	38000	32000	27000	1500	1200	980	750	490	252	38000	38000	32000	27000	1500	1200	980	750	490	252	0	0	0	0	0	
PhysicsCommissioning	HighPtPhoton30AndZ	HLT_HISinglePhoton40_Eta3p1ForPPRef_v8	HIN		signal	prescaled	Disabled	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsCommissioning	HighPtPhoton30AndZ	HLT_HISinglePhoton50_Eta3p1ForPPRef_v8	HIN		signal	prescaled	Disabled	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsCommissioning	HighPtPhoton30AndZ	HLT_HISinglePhoton60_Eta3p1ForPPRef_v8	HIN		signal	unprescaled	Disabled	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsCommissioning	IsolatedBunch	HLT_HcalIsolatedbunch_v4	ALCA,HCAL		control	prescaled	Emergency	100	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_IsolatedBunch) AND (L1_SingleJet16 OR L1_SingleJet20 OR L1_SingleJet35 OR L1_SingleJet60 OR L1_SingleJet90 OR L1_SingleJet120 OR L1_SingleJet140 OR L1_SingleJet150 OR L1_SingleJet160 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet40er2p7 OR L1_DoubleJet50er2p7 OR L1_DoubleJet60er2p7 OR L1_DoubleJet80er2p7 OR L1_DoubleJet100er2p7 OR L1_DoubleJet112er2p7 OR L1_DoubleJet120er2p7 OR L1_TripleJet_84_68_48_VBF OR L1_TripleJet_88_72_56_VBF OR L1_TripleJet_92_76_64_VBF OR L1_QuadJet40er2p7 OR L1_QuadJet50er2p7 OR L1_QuadJet60er2p7 OR L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT220er OR L1_HTT240er OR L1_HTT255er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er)	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_L2Mu10_NoVertex_NoBPTX3BX_v5	EXO		control	prescaled	2E+34	0.2	0.2	0	725	725	653	580	508	435	363	272	181	91	725	725	653	580	508	435	363	272	181	91	0	0	0	0	0	L1_SingleMuOpen_NotBptxOR_3BX	0	0	5	1	1	1	1	1	1	1	1	0	5	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_L2Mu10_NoVertex_NoBPTX_v6	EXO		control	prescaled	2E+34	0.2	0.2	0	139	139	125	111	97	83	69	52	35	17	139	139	125	111	97	83	69	52	35	17	0	0	0	0	0	L1_SingleMuOpen_NotBptxOR	0	0	100	20	20	20	20	20	20	20	20	0	100	20	20	20	20	20	20	20	20	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v5	EXO		signal	unprescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMuOpen_NotBptxOR_3BX	0	0	5	1	1	1	1	1	1	1	1	0	5	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v4	EXO		signal	unprescaled	2E+34	4	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMuOpen_NotBptxOR_3BX	0	0	5	1	1	1	1	1	1	1	1	0	5	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_UncorrectedJetE30_NoBPTX3BX_v5	EXO		signal	unprescaled	2E+34	/	/	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_SingleJet20er2p7_NotBptxOR) AND (L1_SingleJet20er2p7_NotBptxOR_3BX)	550	0	1000	450	400	400	400	400	400	400	400	0	1000	450	400	400	400	400	400	400	400	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_UncorrectedJetE30_NoBPTX_v5	EXO		signal	unprescaled	2E+34	/	/	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	L1_SingleJet20er2p7_NotBptxOR	550	0	1000	450	400	400	400	400	400	400	400	0	1000	450	400	400	400	400	400	400	400	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_UncorrectedJetE60_NoBPTX3BX_v5	EXO		signal	unprescaled	2E+34	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet43er2p7_NotBptxOR_3BX OR L1_SingleJet46er2p7_NotBptxOR_3BX	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	NoBPTX	HLT_UncorrectedJetE70_NoBPTX3BX_v5	EXO		backup	unprescaled	2E+34	0.8	0.8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleJet43er2p7_NotBptxOR_3BX OR L1_SingleJet46er2p7_NotBptxOR_3BX	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsCommissioning	ZeroBias	HLT_Random_v3	ALCA,TRK-DPG		control	prescaled	Emergency	10	10	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0	0	0	0	(none)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PhysicsCommissioning	ZeroBias	HLT_ZeroBias_FirstBXAfterTrain_v3	ALCA,TRK-DPG,TRK-POG		control	prescaled	Emergency	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_FirstBunchAfterTrain	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	0	0	0	0	0	
PhysicsCommissioning	ZeroBias	HLT_ZeroBias_FirstCollisionAfterAbortGap_v5	ALCA,TRK-DPG,TRK-POG		control	prescaled	Emergency	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_FirstCollisionInOrbit	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	1103	0	0	0	0	0	
PhysicsCommissioning	ZeroBias	HLT_ZeroBias_FirstCollisionInTrain_v4	ALCA,TRK-DPG,TRK-POG		control	prescaled	Emergency	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_FirstCollisionInTrain AND (NOT L1_FirstCollisionInOrbit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsCommissioning	ZeroBias	HLT_ZeroBias_IsolatedBunches_v5	ALCA		control	prescaled	Emergency	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	L1_IsolatedBunch	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	0	0	0	0	0	
PhysicsCommissioning	ZeroBias	HLT_ZeroBias_LastCollisionInTrain_v3	ALCA,TRK-DPG,TRK-POG		control	prescaled	Emergency	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LastCollisionInTrain	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	269167	0	0	0	0	0	
PhysicsCommissioning	ZeroBias	HLT_ZeroBias_v6	ALCA,TSG		control	prescaled	Emergency	20	20	42	42	42	42	72	72	72	72	72	72	72	42	42	42	72	72	72	72	72	72	72	200	170	140	120	100	L1_ZeroBias	12457	12457	12457	12457	7193	7193	7193	7193	7193	7193	7193	12457	12457	12457	7193	7193	7193	7193	6997	6997	6997	10487	12343	14983	17483	20983	
PhysicsEGamma	DoubleEG	HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v3	EGM		control	prescaled	2E+34	15	15	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleEG_25_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	DoubleEG	HLT_DiSC30_18_EIso_AND_HE_Mass70_v12	EGM		control	prescaled	2E+34	1	1	0	166	166	155	144	133	127	111	83	55	28	166	166	155	144	133	127	111	83	55	28	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_DoubleEG_15_10 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	DoubleEG	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v12	HIG,SMP		control	prescaled	2E+34	0.3	0.3	0	131	131	123	114	105	101	88	66	44	22	131	131	123	114	105	101	88	66	44	22	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleEG_25_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	DoubleEG	HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v13	HIG,SMP		control	prescaled	2E+34	0.3	0.3	0	85	85	79	73	68	65	56	42	28	14	85	85	79	73	68	65	56	42	28	14	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleEG_25_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	DoubleEG	HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v12	HIG,SMP		control	prescaled	2E+34	1.5	1.5	0	27	27	26	24	22	21	18	14	9	5	27	27	26	24	22	21	18	14	9	5	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleEG_25_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
